name,Clunky,Current rating,Intimidation,Kill?,Last edited time,Maybe character ability instead?,N/A,Tags,Type,backgroundPath,buy_power,buy_power_icons,clique,cliquePath,clique_icon,cost,effect,effect_power,flipped clique,flipped power,gumball_wad,hand_icons,hand_icons (1),hand_icons (1) 1,hand_icons (1) 2,hand_icons (1) 3,hand_icons (1) 5,hand_icons (1) 6,hand_icons (2),hand_icons (3),hand_power,played_icon_path,played_icons (1),played_icons (1) 2,played_icons_1,played_icons_2,played_icons_3,played_icons_4,played_icons_5,played_icons_6,played_power,quantity,tag1Path,tag2Path
Skirmish,No,,,No,"July 5, 2026 2:00 PM",No,No,flex.svg:1,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,1,no,,,,2,intimidation.svg:3,,,,,,,,,,icons/scuffle.svg,,,scuffle.svg:1,,,,,,Initiate a scuffle,1,icons/flex.svg,icons/blank.svg
Rock out with my chalk out,No,,,No,"July 5, 2026 2:00 PM",No,No,flex.svg:1,Market card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,3,yes,When using a card with the scuffle tag: +1 rock for the scuffle,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/flex.svg,icons/blank.svg
Teacher-sanctioned fight,No,,2,No,"July 5, 2026 2:00 PM",Yes,No,"backpack.svg:1, flex.svg:1",Market card,backgrounds/PE_Enthusiast.jpg,,,PE enthusiast: scuffle 1x/+1 rock,icons/scuffle.svg,scuffle.svg:1,2,no,,,,1,hallway.svg:1,,,,,,,,,+1 hall pass,icons/hallway_trade_intimidation.svg,,,hallway.svg:1,trade.svg:1,intimidation.svg:1,,,,"Swap up to 2 hall passes for extra intimidation, 1:1",1,icons/backpack.svg,icons/flex.svg
"Stop, drop, and roll",No,,,No,"July 5, 2026 2:00 PM",No,No,"dice.svg:1, wild.svg:1",Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,3,no,,,,2,,,,,,,,,,,icons/roll_if_resource_resource.svg,,,roll.svg:1,if.svg:1,resource.svg:1,blank.svg:1,resource.svg:2,,"Roll a die for +3 resources <br>
1 → lunch money <br>
2 → hall pass <br>
3 → stick <br>
4 → gumball",1,icons/dice.svg,icons/wild.svg
Bubble battle,No,,2,No,"July 5, 2026 2:00 PM",Yes,No,"candy.svg:1, flex.svg:1",Market card,backgrounds/PE_Enthusiast.jpg,,,PE enthusiast: scuffle 1x/+1 rock,icons/scuffle.svg,scuffle.svg:1,2,no,,,,1,lunch_money.svg:1,,,,,,,,,,icons/gumball_trade_intimidation.svg,,,gumball.svg:1,trade.svg:1,intimidation.svg:1,,,,"Swap up to 2 gumballs for extra intimidation, 1:1",1,icons/flex.svg,icons/candy.svg
Young & wild & free,No,,,No,"May 24, 2026 5:15 PM",No,No,wild.svg:2,Market card,backgrounds/Dirt_Specialist.jpg,,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,3,no,,,,,,,,,,,,,,This card can trigger any effect card (twice),icons/blank.svg,,,,,,,,,,1,icons/wild.svg:2,icons/blank.svg
Mommy’s treat,No,,,No,"May 24, 2026 5:15 PM",No,No,banana.svg:1,Market card,backgrounds/Mathlete.jpg,,,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,2,no,,,,,,,,,,,,,,,icons/lunch_money.svg,,,lunch_money.svg:2,,,,,,+2 lunch money,1,icons/banana.svg,icons/blank.svg
Peach fuzz,No,,,No,"July 5, 2026 2:00 PM",No,No,flex.svg:1,Market card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,3,yes,When using a card with the scuffle tag: +1 action if you win,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/flex.svg,icons/blank.svg
Roll and calculate,No,,,No,"July 5, 2026 2:00 PM",No,No,"dice.svg:1, wild.svg:1",Market card,backgrounds/Mathlete.jpg,,,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,2,no,,,,2,,,,,,,,,,,icons/roll_if_resource_resource.svg,,,roll.svg:1,if.svg:1,resource.svg:1,blank.svg:1,blank.svg:1,resource.svg:1,"Roll a die for +2 resources <br>
1 → lunch money <br>
2 → hall pass <br>
3 → stick <br>
4 → gumball",1,icons/dice.svg,icons/wild.svg
Pocket mulch,No,,,No,"May 24, 2026 5:15 PM",No,No,backpack.svg:1,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,4,no,,,,1,hallway.svg:1,,,,,,,,,+1 hall pass,icons/move.svg,,,move.svg:2,,,,,,Move twice,1,icons/backpack.svg,icons/blank.svg
Food fight,No,,2,No,"July 5, 2026 2:00 PM",Yes,No,"banana.svg:1, flex.svg:1",Market card,backgrounds/PE_Enthusiast.jpg,,,PE enthusiast: scuffle 1x/+1 rock,icons/scuffle.svg,scuffle.svg:1,2,no,,,,1,lunch_money.svg:1,,,,,,,,,+1 lunch money,icons/lunch_money_trade_intimidation.svg,,,lunch_money.svg:1,trade.svg:1,intimidation.svg:1,,,,"Swap up to 2 lunch money for extra intimidation, 1:1",1,icons/banana.svg,icons/flex.svg
Doubles,No,,,No,"July 5, 2026 2:00 PM",No,No,dice.svg:1,Market card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,4,yes,When using a card with a dice tag: double rewards,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/dice.svg,icons/blank.svg
Scared of heights,No,,1,No,"May 24, 2026 5:15 PM",No,No,,Market card,backgrounds/Hall_Monitor.jpg,Put permanently at back of line,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,2,no,,,,1,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/blank.svg,icons/blank.svg
C’mere for a sec,No,,,No,"May 24, 2026 5:15 PM",No,No,banana.svg:1,Market card,backgrounds/Dirt_Specialist.jpg,,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,4,no,,,,,,,,,,,,,,,icons/recruit.svg,,,recruit.svg:1,,,,,,Recruit a kid,1,icons/banana.svg,icons/blank.svg
Jaw strengthening,No,,,No,"May 24, 2026 5:15 PM",No,No,candy.svg:1,Market card,backgrounds/All_Cliques.jpg,,,all cliques,icons/all_cliques.svg,all_cliques.svg:1,2,no,,,,,,,,,,,,,,,icons/gumball.svg,,,gumball.svg:2,,,,,,+2 gumballs,1,icons/candy.svg,icons/blank.svg
4 square,No,,,No,"May 24, 2026 5:15 PM",No,No,wild.svg:1,Market card,backgrounds/Mathlete.jpg,,,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,4,no,,,,,,,,,,,,,,,icons/stick_lunch_money_hallway_gumball.svg,,,blank.svg:1,stick.svg:1,lunch_money.svg:1,blank.svg:1,hallway.svg:1,gumball.svg:1,Gain 1 of every resource,1,icons/wild.svg,icons/blank.svg
Teacher’s pet,No,,,No,"May 24, 2026 5:15 PM",No,No,backpack.svg:1,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,2,no,,,,,,,,,,,,,,,icons/hallway.svg,,,hallway.svg:2,,,,,,+2 hall passes,1,icons/backpack.svg,icons/blank.svg
Deck master 300,No,,,No,"May 24, 2026 5:15 PM",No,No,,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,4,no,,,,2,,,,,,,,,,,icons/play.svg,,,play.svg:1,,,,,,Play any one of your cards,1,icons/blank.svg,icons/blank.svg
My turn,No,,1,No,"May 24, 2026 5:15 PM",No,No,,Market card,backgrounds/Dirt_Specialist.jpg,,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,2,no,,,,1,reorder.svg:1,,,,,,,,,,icons/cardmove.svg,,,cardmove.svg:1,,,,,,Move 1 card to the front of the Monkey Bars,1,icons/blank.svg,icons/blank.svg
Roll in mud,No,,,No,"July 5, 2026 2:00 PM",No,No,"dice.svg:1, wild.svg:1",Market card,backgrounds/Dirt_Specialist.jpg,,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,4,no,,,,2,,,,,,,,,,,icons/roll_if_resource_resource.svg,,,roll.svg:1,if.svg:1,resource.svg:1,resource.svg:3,,,"Roll a die for +4 resources <br>
1 → lunch money <br>
2 → hall pass <br>
3 → stick <br>
4 → gumball",1,icons/dice.svg,icons/wild.svg
Scared of germs,No,,1,No,"May 24, 2026 5:15 PM",No,No,,Market card,backgrounds/Dirt_Specialist.jpg,Put permanently at back of line,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,2,no,,,,1,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/blank.svg,icons/blank.svg
Noogie,No,,,No,"July 5, 2026 2:00 PM",No,No,dice.svg:1,Market card,backgrounds/PE_Enthusiast.jpg,,,PE enthusiast: scuffle 1x/+1 rock,icons/scuffle.svg,scuffle.svg:1,4,no,,,,1,hallway.svg:1,,,,,,,,,+1 hall pass,icons/any_resource_scuffle_if_clout.svg,,,blank.svg:1,blank.svg:1,any_resource.svg:1,scuffle.svg:1,if.svg:1,clout.svg:1,"Scuffle all players, then:
1. You get +1 resource <br>
2. Winner(s) gets +1 resource <br>
3. Replace this card with Clout if you won without ties",1,icons/dice.svg,icons/blank.svg
But it’s an emergency,No,,,No,"May 24, 2026 5:15 PM",No,No,backpack.svg:1,Market card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,2,yes,When using a card with the backpack tag: +1 resource,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/backpack.svg,icons/blank.svg
Scout’s honor,No,,,No,"May 24, 2026 5:15 PM",No,No,bug.svg:1,Market card,backgrounds/Mathlete.jpg,,,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,4,no,,,,,,,,,,,,,,,icons/base.svg,,,base.svg:1,,,,,,Play a base,1,icons/bug.svg,icons/blank.svg
Gum gum gatling,No,,,No,"May 24, 2026 5:15 PM",No,No,candy.svg:1,Market card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,2,yes,When using a card with the candy tag: +1 resource,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/candy.svg,icons/blank.svg
Insecure bully,No,,,No,"July 5, 2026 2:00 PM",No,No,flex.svg:1,Market card,backgrounds/PE_Enthusiast.jpg,,,PE enthusiast: scuffle 1x/+1 rock,icons/scuffle.svg,scuffle.svg:1,4,no,,,,1,stick.svg:1,,,,,,,,,+1 stick,icons/scuffle_if_action.svg,,,scuffle.svg:1,if.svg:1,action.svg:1,,,,If you win a scuffle this turn: +1 action,1,icons/flex.svg,icons/blank.svg
Rummage,No,,,No,"May 24, 2026 5:15 PM",No,No,bug.svg:1,Market card,backgrounds/Dirt_Specialist.jpg,,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,2,no,,,,,,,,,,,,,,,icons/stick.svg,,,stick.svg:2,,,,,,+2 sticks,1,icons/bug.svg,icons/blank.svg
Gimme,No,,2,No,"May 24, 2026 5:15 PM",No,No,wild.svg:1,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,5,no,,,,2,card.svg:1,,,,,,,,,+2 cards,icons/any_resource.svg,,,any_resource.svg:4,,,,,,+4 any resource,1,icons/wild.svg,icons/blank.svg
Main squeeze,No,,,No,"May 24, 2026 5:15 PM",No,No,,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,2,no,,,,1,any_resource.svg:1,,,,,any_resource.svg:1,trade.svg:1,,,Swap 1 resource with your boyfriend. Still single? Swap with supply,icons/boyfriend_any_resource_trade_any_resource.svg,,,blank.svg:1,blank.svg:1,boyfriend.svg:1,any_resource.svg:1,trade.svg:1,any_resource.svg:1,"Pick a player—they are now your boyfriend; to scuffle, you have to break up, which costs them an action but is free for you. <br>
Swap 1 resource with your boyfriend.",1,icons/blank.svg,icons/blank.svg
Cargo shorts,No,,,No,"May 24, 2026 5:15 PM",No,No,,Market card,backgrounds/Mathlete.jpg,,,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,5,no,,,,1,again.svg:1,,,,,,,,,Repeat the reveal power of one of your other cards,icons/again.svg,,,again.svg:1,,,,,,Repeat the action of the other card you play(ed) this turn,1,icons/blank.svg,icons/blank.svg
Scared of monkeys,No,,1,No,"May 24, 2026 5:15 PM",No,No,,Market card,backgrounds/PE_Enthusiast.jpg,Put permanently at back of line,,PE enthusiast: scuffle 1x/+1 rock,icons/scuffle.svg,scuffle.svg:1,2,no,,,,1,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/blank.svg,icons/blank.svg
Young & wild & pricey,No,,,No,"May 24, 2026 5:15 PM",No,No,"wild.svg:1, wild.svg:2",Market card,backgrounds/Dirt_Specialist.jpg,,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,5,no,,,,,,,,,,,,,,This card can trigger any effect card (thrice),icons/blank.svg,,,,,,,,,,1,icons/wild.svg:2,icons/wild.svg
Nice and stuck,No,,,No,"May 24, 2026 5:15 PM",No,No,bug.svg:1,Market card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,2,yes,When using a card with the bug tag: +1 resource,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/bug.svg,icons/blank.svg
Cootie catcher,No,,2,No,"July 5, 2026 2:00 PM",No,No,dice.svg:1,Market card,backgrounds/All_Cliques.jpg,,,all cliques,icons/all_cliques.svg,all_cliques.svg:1,5,no,,,,2,any_resource.svg:1,,,,,,stick.svg:1,,,"+1 any resource, +1 stick",icons/roll_if_roll4build.svg,,,roll.svg:1,if.svg:1,roll4build.svg:1,,,,"Roll a die for a reward: <br>
1 → Place a base or gain 3 sticks <br>
2 → Recruit a kid <br>
3 → Move thrice <br>
4 → Choose any option",1,icons/dice.svg,icons/blank.svg
Complayground interest,No,,,No,"May 24, 2026 5:15 PM",No,No,banana.svg:1,Market card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,2,yes,When using a card with the banana tag: +1 resource,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/banana.svg,icons/blank.svg
Wedgie,No,,,No,"July 5, 2026 2:00 PM",No,No,dice.svg:1,Market card,backgrounds/PE_Enthusiast.jpg,,,PE enthusiast: scuffle 1x/+1 rock,icons/scuffle.svg,scuffle.svg:1,5,no,,,,1,sticks.svg:2,,,,,,,,,+2 sticks,icons/any_resource_scuffle_if_clout.svg,,,blank.svg:1,blank.svg:1,any_resource.svg:1,scuffle.svg:1,if.svg:1,clout.svg:1,"Scuffle all players, then:
1. You get +1 resource <br>
2. Winner(s) gets +1 resource <br>
3. If you tied for 1st, rescuffle to break it <br>
4. Replace this card with Clout if you won",1,icons/dice.svg,icons/blank.svg
Stick it to them,No,,2,No,"July 5, 2026 2:00 PM",Yes,No,"bug.svg:1, flex.svg:1",Market card,backgrounds/PE_Enthusiast.jpg,,,PE enthusiast: scuffle 1x/+1 rock,icons/scuffle.svg,scuffle.svg:1,2,no,,,,1,stick.svg:1,,,,,,,,,+1 stick,icons/stick_trade_intimidation.svg,,,stick.svg:1,trade.svg:1,intimidation.svg:1,,,,"Swap up to 2 sticks for extra intimidation, 1:1",1,icons/flex.svg,icons/bug.svg
I’ll be having that,No,,,No,"May 24, 2026 5:15 PM",No,No,candy.svg:1,Market card,backgrounds/Mathlete.jpg,,,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,6,no,,,,1,,,,,,,,,,,icons/trash_trade_card.svg,,,trash.svg:1,trade.svg:1,card.svg:1,,,,"Replace with any available card; if you do, no buying from the Slide this turn",1,icons/candy.svg,icons/blank.svg
Scared of bars,No,,1,No,"May 24, 2026 5:15 PM",No,No,,Market card,backgrounds/Mathlete.jpg,Put permanently at back of line,,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,2,no,,,,1,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/blank.svg,icons/blank.svg
Footrace,No,,2,No,"May 24, 2026 5:15 PM",No,No,wild.svg:1,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,6,no,,,,2,card.svg:1,,,,,,,,,+2 cards,icons/action_any_resource.svg,,,action.svg:1,any_resource.svg:2,,,,,"+1 action, +2 any resource",1,icons/wild.svg,icons/blank.svg
One and done,No,,,No,"May 24, 2026 5:15 PM",No,No,candy.svg:1,Market card,backgrounds/Mathlete.jpg,,,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,3,no,,,,1,,,,,,,,,,,icons/trash_trade_card.svg,,,trash.svg:1,trade.svg:1,card.svg:1,,,,"Replace with a card that costs up to 3 gumballs more than this one. If you do, no buying from the Slide this turn.",1,icons/candy.svg,icons/blank.svg
Swirly,No,,,No,"July 5, 2026 2:00 PM",No,No,dice.svg:1,Market card,backgrounds/PE_Enthusiast.jpg,,,PE enthusiast: scuffle 1x/+1 rock,icons/scuffle.svg,scuffle.svg:1,6,no,,,,1,any_resource.svg:1,,,,,,lunch_money.svg:1,,,"+1 any resource, +1 lunch money",icons/any_resource_scuffle_if_clout.svg,,,blank.svg:1,blank.svg:1,any_resource.svg:1,scuffle.svg:1,if.svg:1,clout.svg:1,"Scuffle all players, then:
1. You get +1 resource <br>
2. Winner(s) gets +1 resource <br>
3. Replace this card with Clout if you won (including tie)",1,icons/dice.svg,icons/blank.svg
Friendship handcuffs,No,,,No,"May 24, 2026 5:15 PM",No,No,wild.svg:1,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,3,no,,,,1,add_card.svg:1,,,,,,,,,,icons/trade_bracelet.svg,,,trade.svg:1,bracelet.svg:1,,,,,Take a resource of your choice from all players with at least one token on Friendship Bracelet,1,icons/wild.svg,icons/blank.svg
Relentless bully,No,,,No,"July 5, 2026 2:00 PM",No,No,flex.svg:1,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,7,no,,,,1,any_resource.svg:1,,,,,,hallway.svg:1,,,"+1 any resource, +1 hall pass",icons/scuffle_if_again.svg,,,scuffle.svg:1,if.svg:1,again.svg:1,,,,"Scuffle and keep scuffling, as long as you keep winning",1,icons/flex.svg,icons/blank.svg
Clout,No,,1,No,"May 24, 2026 5:15 PM",No,No,,Always available,backgrounds/All_Cliques.jpg,+1 clout,clout.svg:2,all cliques,icons/all_cliques.svg,all_cliques.svg:1,10,no,,,,,any_resource.svg:1,,,,,,,,,+1 any resource,icons/blank.svg,,,,,,,,,,7,icons/blank.svg,icons/blank.svg
Kid cop,No,,1,No,"May 24, 2026 5:15 PM",No,No,backpack.svg:1,Starting card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,,no,,all cliques,+1 hall pass,1,,,,,,,,,,,icons/hallway.svg,,,hallway.svg:1,,,,,,+1 hall pass,5,icons/backpack.svg,icons/blank.svg
Nice lunch lady,No,,,No,"May 24, 2026 5:15 PM",No,No,banana.svg:1,Starting card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,,yes,When using a card with the banana tag: +1 lunch money,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/banana.svg,icons/blank.svg
Tabletop,No,,1,No,"May 24, 2026 5:15 PM",No,No,,Round card,backgrounds/,,,prank,icons/,,,no,Prank a player. All players except them gain a resource of your choice.,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/blank.svg,icons/blank.svg
In with the narks,No,,1,No,"May 24, 2026 5:15 PM",No,No,,Round card,backgrounds/,,,prank,icons/,,,no,Prank a player. All players except them gain 2 hall passes.,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/blank.svg,icons/blank.svg
Gift from mom,No,,1,No,"May 24, 2026 5:15 PM",No,No,,Round card,backgrounds/,,,prank,icons/,,,no,Prank a player. All players except them gain 2 gumballs.,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/blank.svg,icons/blank.svg
