name,cost,Tags,Clunky,N/A,played_power,quantity,buy_power,buy_power_icons,clique,clique_icon,played_icons,played_icons (1) 7,played_icons (1) 5,played_icons (1) 3,played_icons (1) 4,played_icons (1) 1,played_icons (1) 2,played_icons (1),played_icons (2),Current rating,Type,effect,effect_power,Last edited time,Maybe character ability instead?,Kill?,flipped clique,flipped power
Bubble battle,2,"candy.svg:1, flex.svg:1",No,No,"Swap up to 2 gumballs for extra intimidation, 1:1",1,,,PE enthusiast: scuffle 1x/+1 rock,scuffle.svg:1,gumball.svg:1,trade.svg:1,intimidation.svg:1,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",Yes,No,,
Teacher-sanctioned fight,2,"backpack.svg:1, flex.svg:1",No,No,"Swap up to 2 hall passes for extra intimidation, 1:1",1,,,PE enthusiast: scuffle 1x/+1 rock,scuffle.svg:1,hallway.svg:1,trade.svg:1,intimidation.svg:1,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",Yes,No,,
Creatine child,3,flex.svg:1,No,No,+2 rocks on scuffles this turn,1,,,PE enthusiast: scuffle 1x/+1 rock,scuffle.svg:1,rock.svg:2,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",Yes,No,,
Friendship handcuffs,3,wild.svg:1,No,No,Take a resource of your choice from all players with at least one token on Friendship Bracelet,1,,,hall monitor: move kids,hall_pass.svg:1,trade.svg:1,bracelet.svg:1,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Peach fuzz,3,flex.svg:1,No,No,,1,Add to Sandbox,,effect,,,,,,,,,,,,Market card,yes,When using a card with the scuffle tag: +1 action if you win,"May 13, 2026 12:51 PM",No,No,,
Young & wild & free,3,wild.svg:2,No,No,,1,,,dirt specialist: build bases,stick.svg:1,,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
"Stop, drop, and roll",3,"dice.svg:1, wild.svg:1",No,No,"Roll a die for +3 resources <br>
1 → lunch money <br>
2 → hall pass <br>
3 → stick <br>
4 → gumball",1,,,hall monitor: move kids,hall_pass.svg:1,roll.svg:1,if.svg:1,resource.svg:1,blank.svg:1,resource.svg:2,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Rock out with my chalk out,3,flex.svg:1,No,No,,1,Add to Sandbox,,effect,,,,,,,,,,,,Market card,yes,When using a card with the scuffle tag: +1 rock for the scuffle,"May 13, 2026 12:51 PM",No,No,,
One and done,3,candy.svg:1,No,No,"Replace with a card that costs up to 3 gumballs more than this one. If you do, no buying from the Slide this turn.",1,,,mathlete: recruit kids,lunch_money.svg:1,trash.svg:1,trade.svg:1,add_card_+.svg:1,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Confidence builder,3,flex.svg:1,No,No,,1,,,effect,,,,,,,,,,,,Market card,yes,"Whenever you win a scuffle, cache a rock on any tile you control","May 13, 2026 12:51 PM",No,No,,
Advantage,3,dice.svg:1,No,No,,1,Add to Sandbox,,effect,,,,,,,,,,,,Market card,yes,When using a card with a dice tag: roll twice and choose a result,"May 13, 2026 12:51 PM",No,No,,
Unorthodox play,3,wild.svg:1,No,No,+2 any resource,1,,,dirt specialist: build bases,stick.svg:1,any_resource.svg:2,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Big bubbles,3,candy.svg:1,No,No,+3 gumballs,1,,,all cliques,all_cliques.svg:1,gumball.svg:3,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Insecure bully,4,flex.svg:1,No,No,If you win a scuffle this turn: +1 action,1,,,PE enthusiast: scuffle 1x/+1 rock,scuffle.svg:1,scuffle.svg:1,if.svg:1,action.svg:1,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Scout’s honor,4,bug.svg:1,No,No,Play a base,1,,,mathlete: recruit kids,lunch_money.svg:1,base.svg:1,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Noogie,4,dice.svg:1,No,No,"Scuffle all players, then:
1. You get +1 resource <br>
2. Winner(s) gets +1 resource <br>
3. Replace this card with Clout if you won without ties",1,,,PE enthusiast: scuffle 1x/+1 rock,scuffle.svg:1,blank.svg:1,blank.svg:1,any_resource.svg:1,scuffle.svg:1,if.svg:1,clout.svg:1,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Roll in mud,4,"dice.svg:1, wild.svg:1",No,No,"Roll a die for +4 resources <br>
1 → lunch money <br>
2 → hall pass <br>
3 → stick <br>
4 → gumball",1,,,dirt specialist: build bases,stick.svg:1,roll.svg:1,if.svg:1,resource.svg:1,resource.svg:3,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Deck master 300,4,,No,No,Play any one of your cards,1,,,hall monitor: move kids,hall_pass.svg:1,play.svg:1,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
4 square,4,wild.svg:1,No,No,Gain 1 of every resource,1,,,mathlete: recruit kids,lunch_money.svg:1,blank.svg:1,stick.svg:1,lunch_money.svg:1,blank.svg:1,hallway.svg:1,gumball.svg:1,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
C’mere for a sec,4,banana.svg:1,No,No,Recruit a kid,1,,,dirt specialist: build bases,stick.svg:1,recruit.svg:1,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Doubles,4,dice.svg:1,No,No,,1,Add to Sandbox,,effect,,,,,,,,,,,,Market card,yes,When using a card with a dice tag: double rewards,"May 13, 2026 12:51 PM",No,No,,
Pocket mulch,4,backpack.svg:1,No,No,Move twice,1,,,hall monitor: move kids,hall_pass.svg:1,move.svg:2,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Wedgie,5,dice.svg:1,No,No,"Scuffle all players, then:
1. You get +1 resource <br>
2. Winner(s) gets +1 resource <br>
3. If you tied for 1st, rescuffle to break it <br>
4. Replace this card with Clout if you won",1,,,PE enthusiast: scuffle 1x/+1 rock,scuffle.svg:1,blank.svg:1,blank.svg:1,any_resource.svg:1,scuffle.svg:1,if.svg:1,clout.svg:1,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Cootie catcher,5,dice.svg:1,No,No,"Roll a die for a reward: <br>
1 → Place a base or gain 3 sticks <br>
2 → Recruit a kid <br>
3 → Move thrice <br>
4 → Choose any option",1,,,all cliques,all_cliques.svg:1,roll.svg:1,if.svg:1,roll4build.svg:1,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Young & wild & pricey,5,"wild.svg:1, wild.svg:2",No,No,,1,,,dirt specialist: build bases,stick.svg:1,,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Cargo shorts,5,,No,No,Repeat the action of the other card you play(ed) this turn,1,,,mathlete: recruit kids,lunch_money.svg:1,again.svg:1,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Gimme,5,wild.svg:1,No,No,+4 any resource,1,,,hall monitor: move kids,hall_pass.svg:1,any_resource.svg:4,,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Swirly,6,dice.svg:1,No,No,"Scuffle all players, then:
1. You get +1 resource <br>
2. Winner(s) gets +1 resource <br>
3. Replace this card with Clout if you won (including tie)",1,,,PE enthusiast: scuffle 1x/+1 rock,scuffle.svg:1,blank.svg:1,blank.svg:1,any_resource.svg:1,scuffle.svg:1,if.svg:1,clout.svg:1,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Footrace,6,wild.svg:1,No,No,"+1 action, +2 any resource",1,,,hall monitor: move kids,hall_pass.svg:1,action.svg:1,any_resource.svg:2,,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
I’ll be having that,6,candy.svg:1,No,No,"Replace with any available card; if you do, no buying from the Slide this turn",1,,,mathlete: recruit kids,lunch_money.svg:1,trash.svg:1,trade.svg:1,card.svg:1,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Relentless bully,7,flex.svg:1,No,No,"Scuffle and keep scuffling, as long as you keep winning",1,,,hall monitor: move kids,hall_pass.svg:1,scuffle.svg:1,if.svg:1,again.svg:1,,,,,,,,Market card,no,,"May 13, 2026 12:51 PM",No,No,,
Clout,10,,No,No,,7,+1 clout,clout.svg:2,all cliques,all_cliques.svg:1,,,,,,,,,,,Always available,no,,"May 13, 2026 12:51 PM",No,No,,
Stick with us,,bug.svg:1,No,No,,1,Add to Sandbox,,effect,,,,,,,,,,,,Starting card,yes,When using a card with the bug tag: +1 stick,"May 13, 2026 12:51 PM",No,No,,
Tattletale,,,No,No,,1,,,prank,,,,,,,,,,,,Round card,no,Tattle on a player. They can’t initiate scuffles next turn.,"May 13, 2026 12:51 PM",No,No,,
Friendship bracelet,,,No,No,"+1 token to this card <br><br> Once between turns: when another player uses Friendship Bracelet, gain 1 resource per token",5,,,dirt specialist: build bases,stick.svg:1,bracelet.svg:1,,,,,,,,,,Starting card,no,,"May 13, 2026 12:51 PM",No,No,all cliques,"+1 token to this card <br><br> Once between turns: when any player uses Friendship Bracelet, gain 1 resource per token"
Extra slop,,,No,No,,1,,,prank,,,,,,,,,,,,Round card,no,Prank a player. All players except them gain 2 lunch money.,"May 13, 2026 12:51 PM",No,No,,
Covered in mud,,bug.svg:1,No,No,+1 stick,5,,,dirt specialist: build bases,stick.svg:1,stick.svg:1,,,,,,,,,,Starting card,no,,"May 13, 2026 12:51 PM",No,No,all cliques,+1 stick
Jawbreaker,,candy.svg:1,No,No,+1 gumball,5,,,PE enthusiast: scuffle 1x/+1 rock,scuffle.svg:1,gumball.svg:1,,,,,,,,,,Starting card,no,,"May 13, 2026 12:51 PM",No,No,all cliques,+1 gumball
One more piece,,candy.svg:1,No,No,,1,Add to Sandbox,,effect,,,,,,,,,,,,Starting card,yes,When using a card with the candy tag: +1 gumball,"May 13, 2026 12:51 PM",No,No,,
I’m not sharing,,dice.svg:1,No,No,"Roll the dice, only you pick up",5,,,hall monitor: move kids,hall_pass.svg:1,roll.svg:1,,,,,,,,,,Starting card,no,,"May 13, 2026 12:51 PM",No,No,hall monitor: move kids,"Roll the dice, only you pick up. <br>
Swap the places of two neighboring cards on the Monkey Bars."
Planking,,,No,No,,1,,,prank,,,,,,,,,,,,Round card,no,Prank a player. All players except them gain 2 sticks.,"May 13, 2026 12:51 PM",No,No,,
Keep it moving,,backpack.svg:1,No,No,,1,Add to Sandbox,,effect,,,,,,,,,,,,Starting card,yes,When using a card with the backpack tag: +1 hall pass,"May 13, 2026 12:51 PM",No,No,,
Young & wild,,wild.svg:1,No,No,,5,,,all cliques,all_cliques.svg:1,,,,,,,,,,,Starting card,no,,"May 13, 2026 12:51 PM",No,No,all cliques,Swap the places of two neighboring cards on the Monkey Bars.
Smarty pants,,banana.svg:1,No,No,+1 lunch money,5,,,mathlete: recruit kids,lunch_money.svg:1,lunch_money.svg:1,,,,,,,,,,Starting card,no,,"May 13, 2026 12:51 PM",No,No,all cliques,+1 lunch money
Fire drill,,,No,No,,1,,,prank,,,,,,,,,,,,Round card,no,Prank a player. Roll the dice—all players except them pick up.,"May 13, 2026 12:51 PM",No,No,,
Gift from mom,,,No,No,,1,,,prank,,,,,,,,,,,,Round card,no,Prank a player. All players except them gain 2 gumballs.,"May 13, 2026 12:51 PM",No,No,,
In with the narks,,,No,No,,1,,,prank,,,,,,,,,,,,Round card,no,Prank a player. All players except them gain 2 hall passes.,"May 13, 2026 12:51 PM",No,No,,
Tabletop,,,No,No,,1,,,prank,,,,,,,,,,,,Round card,no,Prank a player. All players except them gain a resource of your choice.,"May 13, 2026 12:51 PM",No,No,,
Nice lunch lady,,banana.svg:1,No,No,,1,Add to Sandbox,,effect,,,,,,,,,,,,Starting card,yes,When using a card with the banana tag: +1 lunch money,"May 13, 2026 12:51 PM",No,No,,
Kid cop,,backpack.svg:1,No,No,+1 hall pass,5,,,hall monitor: move kids,hall_pass.svg:1,hallway.svg:1,,,,,,,,,,Starting card,no,,"May 13, 2026 12:51 PM",No,No,all cliques,+1 hall pass
