"name","clique","background_path","clique_icon_path","effect_icon_path","played_power","cost"
"Doubles","effect","backgrounds\Sandbox.jpg","icons\blank.svg","icons\blank.svg","","4"
"Pocket mulch","hall monitor: move kids","backgrounds\Hall_Monitor.jpg","icons\hall_pass.svg","icons\Move twice","Move twice","4"
"Wedgie","PE enthusiast: scuffle 1x/+1 rock","backgrounds\PE_Enthusiast.jpg","icons\scuffle.svg","icons\Scuffle all players, then:
1. You get +1 resource <br>
2. Winner(s) gets +1 resource <br>
3. If you tied for 1st, rescuffle to break it <br>
4. Replace this card with Clout if you won","Scuffle all players, then:
1. You get +1 resource <br>
2. Winner(s) gets +1 resource <br>
3. If you tied for 1st, rescuffle to break it <br>
4. Replace this card with Clout if you won","5"
"Cootie catcher","all cliques","backgrounds\All_Cliques.jpg","icons\all_cliques.svg","icons\Roll a die for a reward: <br>
1 → Place a base or gain 3 sticks <br>
2 → Recruit a kid <br>
3 → Move thrice <br>
4 → Choose any option","Roll a die for a reward: <br>
1 → Place a base or gain 3 sticks <br>
2 → Recruit a kid <br>
3 → Move thrice <br>
4 → Choose any option","5"
"Young & wild & pricey","dirt specialist: build bases","backgrounds\Dirt_Specialist.jpg","icons\stick.svg","icons\blank.svg","","5"
"Cargo shorts","mathlete: recruit kids","backgrounds\Mathlete.jpg","icons\lunch_money.svg","icons\Repeat the action of the other card you play(ed) this turn","Repeat the action of the other card you play(ed) this turn","5"
"Gimme","hall monitor: move kids","backgrounds\Hall_Monitor.jpg","icons\hall_pass.svg","icons\+4 any resource","+4 any resource","5"
"Swirly","PE enthusiast: scuffle 1x/+1 rock","backgrounds\PE_Enthusiast.jpg","icons\scuffle.svg","icons\Scuffle all players, then:
1. You get +1 resource <br>
2. Winner(s) gets +1 resource <br>
3. Replace this card with Clout if you won (including tie)","Scuffle all players, then:
1. You get +1 resource <br>
2. Winner(s) gets +1 resource <br>
3. Replace this card with Clout if you won (including tie)","6"
"Footrace","hall monitor: move kids","backgrounds\Hall_Monitor.jpg","icons\hall_pass.svg","icons\+1 action, +2 any resource","+1 action, +2 any resource","6"
"I’ll be having that","mathlete: recruit kids","backgrounds\Mathlete.jpg","icons\lunch_money.svg","icons\Replace with any available card; if you do, no buying from the Slide this turn","Replace with any available card; if you do, no buying from the Slide this turn","6"
"Relentless bully","hall monitor: move kids","backgrounds\Hall_Monitor.jpg","icons\hall_pass.svg","icons\Scuffle and keep scuffling, as long as you keep winning","Scuffle and keep scuffling, as long as you keep winning","7"
"Clout","all cliques","backgrounds\All_Cliques.jpg","icons\all_cliques.svg","icons\blank.svg","","10"
"Stick with us","effect","backgrounds\Sandbox.jpg","icons\blank.svg","icons\blank.svg","",""
"Tattletale","prank","backgrounds\Prank.jpg","icons\blank.svg","icons\blank.svg","",""
"Friendship bracelet","dirt specialist: build bases","backgrounds\Dirt_Specialist.jpg","icons\stick.svg","icons\+1 token to this card <br><br> Once between turns: when another player uses Friendship Bracelet, gain 1 resource per token","+1 token to this card <br><br> Once between turns: when another player uses Friendship Bracelet, gain 1 resource per token",""
"Extra slop","prank","backgrounds\Prank.jpg","icons\blank.svg","icons\blank.svg","",""
"Covered in mud","dirt specialist: build bases","backgrounds\Dirt_Specialist.jpg","icons\stick.svg","icons\+1 stick","+1 stick",""
"Jawbreaker","PE enthusiast: scuffle 1x/+1 rock","backgrounds\PE_Enthusiast.jpg","icons\scuffle.svg","icons\+1 gumball","+1 gumball",""
"One more piece","effect","backgrounds\Sandbox.jpg","icons\blank.svg","icons\blank.svg","",""
"I’m not sharing","hall monitor: move kids","backgrounds\Hall_Monitor.jpg","icons\hall_pass.svg","icons\Roll the dice, only you pick up","Roll the dice, only you pick up",""
"Planking","prank","backgrounds\Prank.jpg","icons\blank.svg","icons\blank.svg","",""
"Keep it moving","effect","backgrounds\Sandbox.jpg","icons\blank.svg","icons\blank.svg","",""
"Young & wild","all cliques","backgrounds\All_Cliques.jpg","icons\all_cliques.svg","icons\blank.svg","",""
"Smarty pants","mathlete: recruit kids","backgrounds\Mathlete.jpg","icons\lunch_money.svg","icons\+1 lunch money","+1 lunch money",""
"Fire drill","prank","backgrounds\Prank.jpg","icons\blank.svg","icons\blank.svg","",""
"Gift from mom","prank","backgrounds\Prank.jpg","icons\blank.svg","icons\blank.svg","",""
"In with the narks","prank","backgrounds\Prank.jpg","icons\blank.svg","icons\blank.svg","",""
"Tabletop","prank","backgrounds\Prank.jpg","icons\blank.svg","icons\blank.svg","",""
"Nice lunch lady","effect","backgrounds\Sandbox.jpg","icons\blank.svg","icons\blank.svg","",""
"Kid cop","hall monitor: move kids","backgrounds\Hall_Monitor.jpg","icons\hall_pass.svg","icons\+1 hall pass","+1 hall pass",""
